Date,Deposit type,Expenditure
Jun 2016,Total deposits,353.9
Sep 2016,Total deposits,379.5
Dec 2016,Total deposits,403.1
Mar 2017,Total deposits,337.6
Jun 2017,Total deposits,444.9
Sep 2017,Total deposits,475.2
Dec 2017,Total deposits,496.1
Mar 2018,Total deposits,438.7
Jun 2018,Total deposits,567.8
Sep 2018,Total deposits,584.4
Dec 2018,Total deposits,592.7
Mar 2019,Total deposits,505.7
Jun 2019,Total deposits,664.8
Sep 2019,Total deposits,724.8
Dec 2019,Total deposits,753.1
Mar 2020,Total deposits,610.6
Jun 2020,Total deposits,683.3
Sep 2020,Total deposits,744.9
Dec 2020,Total deposits,770.0
Mar 2021,Total deposits,734.8
Jun 2021,Total deposits,912.0
Sep 2021,Total deposits,997.6
Dec 2021,Total deposits,951.7
Mar 2022,Total deposits,855.3
Jun 2022,Total deposits,1057.3
Sep 2022,Total deposits,1099.3
Dec 2022,Total deposits,1048.2
Mar 2023,Total deposits,895.9
Jun 2023,Total deposits,1090.0
Sep 2023,Total deposits,1159.9
Dec 2023,Total deposits,1114.8
Mar 2024,Total deposits,909.6
Jun 2024,Total deposits,1015.3
Jun 2016,New deposits,104.1
Sep 2016,New deposits,113.8
Dec 2016,New deposits,130.9
Mar 2017,New deposits,102.9
Jun 2017,New deposits,135.9
Sep 2017,New deposits,158.9
Dec 2017,New deposits,162.7
Mar 2018,New deposits,145.4
Jun 2018,New deposits,197.9
Sep 2018,New deposits,223.5
Dec 2018,New deposits,233.5
Mar 2019,New deposits,175.3
Jun 2019,New deposits,275.1
Sep 2019,New deposits,302.4
Dec 2019,New deposits,303.9
Mar 2020,New deposits,223.7
Jun 2020,New deposits,229.0
Sep 2020,New deposits,257.5
Dec 2020,New deposits,246.6
Mar 2021,New deposits,252.3
Jun 2021,New deposits,310.5
Sep 2021,New deposits,338.3
Dec 2021,New deposits,307.2
Mar 2022,New deposits,260.3
Jun 2022,New deposits,314.4
Sep 2022,New deposits,341.5
Dec 2022,New deposits,353.0
Mar 2023,New deposits,276.1
Jun 2023,New deposits,329.5
Sep 2023,New deposits,370.2
Dec 2023,New deposits,362.5
Mar 2024,New deposits,277.3
Jun 2024,New deposits,303.3
Jun 2016,Existing deposits,249.8
Sep 2016,Existing deposits,265.6
Dec 2016,Existing deposits,272.3
Mar 2017,Existing deposits,234.8
Jun 2017,Existing deposits,308.9
Sep 2017,Existing deposits,316.3
Dec 2017,Existing deposits,333.4
Mar 2018,Existing deposits,293.3
Jun 2018,Existing deposits,369.9
Sep 2018,Existing deposits,361.4
Dec 2018,Existing deposits,359.3
Mar 2019,Existing deposits,330.4
Jun 2019,Existing deposits,389.7
Sep 2019,Existing deposits,422.4
Dec 2019,Existing deposits,449.2
Mar 2020,Existing deposits,386.8
Jun 2020,Existing deposits,454.3
Sep 2020,Existing deposits,487.4
Dec 2020,Existing deposits,523.4
Mar 2021,Existing deposits,482.5
Jun 2021,Existing deposits,601.5
Sep 2021,Existing deposits,659.3
Dec 2021,Existing deposits,644.5
Mar 2022,Existing deposits,595.0
Jun 2022,Existing deposits,742.9
Sep 2022,Existing deposits,757.8
Dec 2022,Existing deposits,695.2
Mar 2023,Existing deposits,619.8
Jun 2023,Existing deposits,760.6
Sep 2023,Existing deposits,789.7
Dec 2023,Existing deposits,752.3
Mar 2024,Existing deposits,632.3
Jun 2024,Existing deposits,712.0
